parc,type,modele,immat,km,tauxsante,statut,annee,boite,moteur,portes,girouette,clim,pmr,ct
527,TCP - Midibus,HEULIEZ GX 137 C,FM-020-GL,0,100,Actif,2019,Automatique,Diesel,2,Non,Oui,Non,
528,TCP - Midibus,HEULIEZ GX 137 C,FM-355-GL,0,100,Actif,2019,Automatique,Diesel,2,Non,Oui,Non,
529,TCP - Midibus,HEULIEZ GX 137 C,FM-502-GL,0,100,Actif,2019,Automatique,Diesel,2,Non,Oui,Non,
530,TCP - Midibus,HEULIEZ GX 137 C,FM-656-GL,0,100,Actif,2019,Automatique,Diesel,2,Non,Oui,Non,
531,TCP - Midibus,HEULIEZ GX 137,FV-496-VJ,0,100,Actif,2020,Automatique,Diesel,2,Non,Oui,Non,
532,TCP - Midibus,HEULIEZ GX 137,FV-068-VK,0,100,Actif,2020,Automatique,Diesel,2,Non,Oui,Non,
533,TCP - Midibus,HEULIEZ GX 137,FV-497-VK,0,100,Actif,2020,Automatique,Diesel,2,Non,Oui,Non,
534,TCP - Midibus,HEULIEZ GX 137,FV-722-VL,0,100,Actif,2020,Automatique,Diesel,2,Non,Oui,Non,
601,TCP - Minibus,MERCEDES Sprinter,AB-140-YF,0,100,Actif,2009,Automatique,Diesel,2,Non,Non,Non,
602,TCP - Minibus,MERCEDES Sprinter,AB-115-YF,0,100,Actif,2009,Automatique,Diesel,2,Non,Non,Non,
603,TCP - Minibus,MERCEDES Sprinter,AB 156 YF,0,100,Actif,2009,Automatique,Diesel,2,Non,Non,Non,
604,TCP - Minibus,MERCEDES Sprinter,AB-133-YF,0,100,Actif,2009,Automatique,Diesel,2,Non,Non,Non,
605,TCP - Minibus,MERCEDES Sprinter,AB 149 YF,0,100,Actif,2009,Automatique,Diesel,2,Non,Non,Non,
1000,TCP - Autobus Standard,MAN LION'S CITY S,FC-170-LB,0,100,Actif,2018,Automatique,Diesel,2,Oui,Oui,Oui,
1001,TCP - Autobus Standard,MAN LION'S CITY S,FC-491-LB,0,100,Actif,2018,Automatique,Diesel,2,Oui,Oui,Oui,
1002,TCP - Autobus Standard,MAN LION'S CITY S,FC-535-LB,0,100,Actif,2018,Automatique,Diesel,2,Oui,Oui,Oui,
1003,TCP - Autobus Standard,MAN LION'S CITY S,FC-641-LB,0,100,Actif,2018,Automatique,Diesel,2,Oui,Oui,Oui,
1004,TCP - Autobus Standard,MAN LION'S CITY S,FC-860-LB,0,100,Actif,2018,Automatique,Diesel,2,Oui,Oui,Oui,
1005,TCP - Autobus Standard,MAN LION'S CITY S,FC-144-LC,0,100,Actif,2018,Automatique,Diesel,2,Oui,Oui,Oui,
1006,TCP - Autobus Standard,MAN LION'S CITY S,FC-200-LC,0,100,Actif,2018,Automatique,Diesel,2,Oui,Oui,Oui,
1007,TCP - Autobus Standard,MAN LION'S CITY S,FC-586-YX,0,100,Actif,2019,Automatique,Diesel,2,Oui,Oui,Oui,
1008,TCP - Autobus Standard,MAN LION'S CITY S,FC-471-YX,0,100,Actif,2019,Automatique,Diesel,2,Oui,Oui,Oui,
1009,TCP - Autobus Standard,MAN LION'S CITY S,FC-271-YX,0,100,Actif,2019,Automatique,Diesel,2,Oui,Oui,Oui,
1010,TCP - Autobus Standard,MAN LION'S CITY S,FC-207-YX,0,100,Actif,2019,Automatique,Diesel,2,Oui,Oui,Oui,
1011,TCP - Autobus Standard,MAN LION'S CITY S,FC-122-YX,0,100,Actif,2019,Automatique,Diesel,2,Oui,Oui,Oui,
1012,TCP - Autobus Standard,MAN LION'S CITY S,FC-767-YW,0,100,Actif,2019,Automatique,Diesel,2,Oui,Oui,Oui,
1013,TCP - Autobus Standard,MAN LION'S CITY S,FC-640-YW,0,100,Actif,2019,Automatique,Diesel,2,Oui,Oui,Oui,
1014,TCP - Autobus Standard,MAN LION'S CITY S,FC-532YW,0,100,Actif,2019,Automatique,Diesel,2,Oui,Oui,Oui,
1015,TCP - Autobus Standard,MAN LION'S CITY S,FC-232-YW,0,100,Actif,2019,Automatique,Diesel,2,Oui,Oui,Oui,
1016,TCP - Autobus Standard,MAN LION'S CITY S,FM-233-JW,0,100,Actif,2019,Automatique,Diesel,2,Oui,Oui,Oui,
1017,TCP - Autobus Standard,MAN LION'S CITY S,FM-429-JW,0,100,Actif,2019,Automatique,Diesel,2,Oui,Oui,Oui,
1018,TCP - Autobus Standard,MAN LION'S CITY S,FW-646-DE,0,100,Actif,2020,Automatique,Diesel,2,Oui,Oui,Oui,
1019,TCP - Autobus Standard,MAN LION'S CITY S,FW-312-DP,0,100,Actif,2020,Automatique,Diesel,2,Oui,Oui,Oui,
1020,TCP - Autobus Standard,MAN LION'S CITY S,FW-449-DP,0,100,Actif,2020,Automatique,Diesel,2,Oui,Oui,Oui,
1021,TCP - Autobus Standard,MAN LION'S CITY S,FW-569-DP,0,100,Actif,2020,Automatique,Diesel,2,Oui,Oui,Oui,
1022,TCP - Autobus Standard,MAN LION'S CITY S,FW-794-DP,0,100,Actif,2020,Automatique,Diesel,2,Oui,Oui,Oui,
1023,TCP - Autobus Standard,MAN LION'S CITY S,FW-908-DP,0,100,Actif,2020,Automatique,Diesel,2,Oui,Oui,Oui,
1024,TCP - Autobus Standard,MAN LION'S CITY S,FW-973-DP,0,100,Actif,2020,Automatique,Diesel,2,Oui,Oui,Oui,
1025,TCP - Autobus Standard,MAN LION'S CITY S,FW-041-DQ,0,100,Actif,2020,Automatique,Diesel,2,Oui,Oui,Oui,
2000,TCP - Autobus articulé,HEULIEZ GX 437 H,DY-390-KQ,0,100,Actif,2015,Automatique,Hybride,3,Oui,Oui,Oui,
2001,TCP - Autobus articulé,HEULIEZ GX 437 H,EC-527-NB,0,100,Actif,2016,Automatique,Hybride,3,Oui,Oui,Oui,
2002,TCP - Autobus articulé,HEULIEZ GX 437 H,EC-028-NC,0,100,Actif,2016,Automatique,Hybride,3,Oui,Oui,Oui,
2003,TCP - Autobus articulé,HEULIEZ GX 437 H,EC-488-NC,0,100,Actif,2016,Automatique,Hybride,3,Oui,Oui,Oui,
2004,TCP - Autobus articulé,HEULIEZ GX 437 H,EC-225-ND,0,100,Actif,2016,Automatique,Hybride,3,Oui,Oui,Oui,
2005,TCP - Autobus articulé,HEULIEZ GX 437 H,ED-397-QY,0,100,Actif,2016,Automatique,Hybride,3,Oui,Oui,Oui,
2006,TCP - Autobus articulé,HEULIEZ GX 437 H,ED-313-QY,0,100,Actif,2016,Automatique,Hybride,3,Oui,Oui,Oui,
